Zeit - sec	WBMS - m/s	Latitude - 	Longitude - 	Tag - 	Monat - 	Jahr - 	Stunden - 	Minuten - 	Sekunden - 
6,5999934	0	484,026423	117,00283	12	11	2020	12	57	58
6,6333267	0	484,026423	117,00283	12	11	2020	12	57	58
6,66666	0	484,026423	117,00283	12	11	2020	12	57	58
6,6999933	0	484,026423	117,00283	12	11	2020	12	57	58
6,7333266	0	484,026423	117,00283	12	11	2020	12	57	58
6,7666599	0	484,026423	117,00283	12	11	2020	12	57	58
6,7999932	0	484,026423	117,00283	12	11	2020	12	57	58
6,8333265	0	484,026423	117,00283	12	11	2020	12	57	58
6,8666598	0	484,026423	117,00283	12	11	2020	12	57	58
6,8999931	0	484,026423	117,00283	12	11	2020	12	57	58
6,9333264	0	484,026423	117,00283	12	11	2020	12	57	58
6,9666597	0	484,026423	117,00283	12	11	2020	12	57	58
6,999993	0	484,026423	117,00283	12	11	2020	12	57	58
7,0333263	0	484,026423	117,00283	12	11	2020	12	57	58
7,0666596	0	484,026423	117,00283	12	11	2020	12	57	58
7,0999929	0	484,026423	117,00283	12	11	2020	12	57	58
7,1333262	0	484,026423	117,00283	12	11	2020	12	57	58
7,1666595	0	484,026423	117,00283	12	11	2020	12	57	58
7,1999928	0	484,026423	117,00283	12	11	2020	12	57	58
7,2333261	0	484,026423	117,00283	12	11	2020	12	57	58
7,2666594	0	484,026423	117,00283	12	11	2020	12	57	58
7,2999927	0	484,026423	117,00283	12	11	2020	12	57	59
7,333326	0	484,026423	117,00283	12	11	2020	12	57	59
7,3666593	0	484,026423	117,00283	12	11	2020	12	57	59
7,3999926	0	484,026423	117,00283	12	11	2020	12	57	59
7,4333259	0	484,026423	117,00283	12	11	2020	12	57	59
7,4666592	0	484,026423	117,00283	12	11	2020	12	57	59
7,4999925	0	484,026423	117,00283	12	11	2020	12	57	59
7,5333258	0	484,026423	117,002831	12	11	2020	12	57	59
7,5666591	0	484,026423	117,002831	12	11	2020	12	57	59
7,5999924	0	484,026423	117,002831	12	11	2020	12	57	59
7,6333257	0	484,026423	117,00283	12	11	2020	12	57	59
7,666659	0	484,026423	117,00283	12	11	2020	12	57	59
7,6999923	0	484,026423	117,00283	12	11	2020	12	57	59
7,7333256	0	484,026423	117,00283	12	11	2020	12	57	59
7,7666589	0	484,026423	117,00283	12	11	2020	12	57	59
7,7999922	0	484,026423	117,00283	12	11	2020	12	57	59
7,8333255	0	484,026424	117,00283	12	11	2020	12	57	59
7,8666588	0	484,026424	117,00283	12	11	2020	12	57	59
7,8999921	0	484,026424	117,00283	12	11	2020	12	57	59
7,9333254	0	484,026424	117,002831	12	11	2020	12	57	59
7,9666587	0	484,026424	117,002831	12	11	2020	12	57	59
7,999992	0	484,026424	117,002831	12	11	2020	12	57	59
8,0333253	0	484,026424	117,002831	12	11	2020	12	57	59
8,0666586	0	484,026424	117,002831	12	11	2020	12	57	59
8,0999919	0	484,026424	117,002831	12	11	2020	12	57	59
8,1333252	0	484,026424	117,002831	12	11	2020	12	57	59
8,1666585	0	484,026424	117,002831	12	11	2020	12	57	59
8,1999918	0	484,026424	117,002831	12	11	2020	12	57	59
8,2333251	0	484,026425	117,002831	12	11	2020	12	57	59
8,2666584	0	484,026425	117,002831	12	11	2020	12	57	59
8,2999917	0	484,026425	117,002831	12	11	2020	12	58	0
8,333325	0	484,026426	117,002831	12	11	2020	12	58	0
8,3666583	0,041	484,026426	117,002831	12	11	2020	12	58	0
8,3999916	0,041	484,026426	117,002831	12	11	2020	12	58	0
8,4333249	0,041	484,026426	117,00283	12	11	2020	12	58	0
8,4666582	0,041	484,026426	117,00283	12	11	2020	12	58	0
8,4999915	0,041	484,026426	117,00283	12	11	2020	12	58	0
8,5333248	0,041	484,026427	117,00283	12	11	2020	12	58	0
8,5666581	0,041	484,026427	117,00283	12	11	2020	12	58	0
8,5999914	0,041	484,026427	117,00283	12	11	2020	12	58	0
8,6333247	0,041	484,026428	117,00283	12	11	2020	12	58	0
8,666658	0,083	484,026428	117,00283	12	11	2020	12	58	0
8,6999913	0,083	484,026428	117,00283	12	11	2020	12	58	0
8,7333246	0,083	484,026429	117,00283	12	11	2020	12	58	0
8,7666579	0,083	484,026429	117,00283	12	11	2020	12	58	0
8,7999912	0,083	484,026429	117,00283	12	11	2020	12	58	0
8,8333245	0,083	484,026424	117,002831	12	11	2020	12	58	0
8,8666578	0,083	484,026424	117,002831	12	11	2020	12	58	0
8,8999911	0,083	484,026424	117,002831	12	11	2020	12	58	0
8,9333244	0,083	484,026421	117,002831	12	11	2020	12	58	0
8,9666577	0,113	484,026421	117,002831	12	11	2020	12	58	0
8,999991	0,113	484,026421	117,002831	12	11	2020	12	58	0
9,0333243	0,113	484,02642	117,002831	12	11	2020	12	58	0
9,0666576	0,113	484,02642	117,002831	12	11	2020	12	58	0
9,0999909	0,113	484,02642	117,002831	12	11	2020	12	58	0
9,1333242	0,113	484,02642	117,002831	12	11	2020	12	58	0
9,1666575	0,13	484,02642	117,002831	12	11	2020	12	58	0
9,1999908	0,13	484,02642	117,002831	12	11	2020	12	58	0
9,2333241	0,13	484,02642	117,002832	12	11	2020	12	58	0
9,2666574	0,13	484,02642	117,002832	12	11	2020	12	58	0
9,2999907	0,13	484,02642	117,002832	12	11	2020	12	58	1
9,333324	0,13	484,026421	117,002832	12	11	2020	12	58	1
9,3666573	0,155	484,026421	117,002832	12	11	2020	12	58	1
9,3999906	0,155	484,026421	117,002832	12	11	2020	12	58	1
9,4333239	0,155	484,026422	117,002832	12	11	2020	12	58	1
9,4666572	0,155	484,026422	117,002832	12	11	2020	12	58	1
9,4999905	0,155	484,026422	117,002832	12	11	2020	12	58	1
9,5333238	0,155	484,026423	117,002832	12	11	2020	12	58	1
9,5666571	0,175	484,026423	117,002832	12	11	2020	12	58	1
9,5999904	0,175	484,026423	117,002832	12	11	2020	12	58	1
9,6333237	0,175	484,026425	117,002831	12	11	2020	12	58	1
9,666657	0,191	484,026425	117,002831	12	11	2020	12	58	1
9,6999903	0,191	484,026425	117,002831	12	11	2020	12	58	1
9,7333236	0,191	484,026427	117,002831	12	11	2020	12	58	1
9,7666569	0,191	484,026427	117,002831	12	11	2020	12	58	1
9,7999902	0,191	484,026427	117,002831	12	11	2020	12	58	1
9,8333235	0,191	484,026428	117,002831	12	11	2020	12	58	1
9,8666568	0,205	484,026428	117,002831	12	11	2020	12	58	1
9,8999901	0,205	484,026428	117,002831	12	11	2020	12	58	1
9,9333234	0,205	484,02643	117,002831	12	11	2020	12	58	1
